ts_code  ,trade_date,open ,high ,low  ,close,pre_close,change,pct_chg,vol       ,amount      ,K   ,r_1y   ,expiry_t             ,sigma_1y           ,d1                   ,d2                   ,call              ,put                ,close_day_before,return                 ,K   ,r_1y   ,expiry_t             ,sigma_1y          ,d1                   ,d2                   ,call              ,put
000651.SZ,2019-03-15,45.5 ,47.68,45.5 ,46.92,45.46    ,1.46  ,3.2116 ,839753.19 ,3931306.214 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,44.95           ,0.011345939933259132   ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-03-18,46.9 ,48.11,46.54,47.9 ,46.92    ,0.98  ,2.0887 ,653507.32 ,3104486.244 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,45.46           ,0.03211614606247252    ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-03-19,47.93,48.43,46.91,47.21,47.9     ,-0.69 ,-1.4405,507038.47 ,2404196.675 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,46.92           ,0.020886615515771458   ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-03-20,47.01,47.1 ,46.11,46.61,47.21    ,-0.6  ,-1.2709,460492.41 ,2144968.562 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,47.9            ,-0.014405010438413314  ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-03-21,46.4 ,46.57,45.98,46.27,46.61    ,-0.34 ,-0.7295,466909.37 ,2158335.256 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,47.21           ,-0.012709171785638665  ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-03-22,46.4 ,46.74,45.8 ,46.16,46.27    ,-0.11 ,-0.2377,426192.03 ,1968097.727 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,46.61           ,-0.0072945719802616675 ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-03-25,45.47,45.67,44.88,44.99,46.16    ,-1.17 ,-2.5347,570378.1  ,2580637.872 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,46.27           ,-0.0023773503349904155 ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-03-26,45.28,45.43,44.26,44.8 ,44.99    ,-0.19 ,-0.4223,490953.54 ,2202652.5   ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,46.16           ,-0.02534662045060647   ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-03-27,45.08,45.78,44.85,45.6 ,44.8     ,0.8   ,1.7857 ,430795.6  ,1955936.752 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,44.99           ,-0.004223160702378413  ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-03-28,45.37,45.98,45.04,45.63,45.6     ,0.03  ,0.0658 ,346265.42 ,1578843.399 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,44.8            ,0.017857142857142953   ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-03-29,45.66,47.3 ,45.66,47.21,45.63    ,1.58  ,3.4626 ,795880.27 ,3735999.148 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,45.6            ,0.0006578947368421302  ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-04-09,51.93,51.93,51.93,51.93,47.21    ,4.72  ,9.9979 ,108436.42 ,563110.329  ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,45.63           ,0.03462634231864997    ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-04-10,57.12,57.12,54.56,57.12,51.93    ,5.19  ,9.9942 ,3228750.34,18195734.529,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,47.21           ,0.09997881804702391    ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-04-11,57.33,58.39,54.7 ,55.2 ,57.12    ,-1.92 ,-3.3613,1743277.44,9811601.249 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,51.93           ,0.09994222992489886    ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-04-12,54.81,56.0 ,52.9 ,54.55,55.2     ,-0.65 ,-1.1775,1092515.12,5933569.427 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,57.12           ,-0.03361344537815117   ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-04-15,55.76,58.55,55.21,56.7 ,54.55    ,2.15  ,3.9413 ,1385286.09,7924294.184 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,55.2            ,-0.011775362318840682  ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-04-16,56.3 ,58.28,55.73,58.24,56.7     ,1.54  ,2.716  ,905344.95 ,5187989.049 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,54.55           ,0.03941338221814859    ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-04-17,58.24,58.34,57.0 ,57.46,58.24    ,-0.78 ,-1.3393,711349.36 ,4097149.914 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,56.7            ,0.027160493827160476   ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-04-18,58.46,60.1 ,58.16,59.5 ,57.46    ,2.04  ,3.5503 ,960455.16 ,5691630.982 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,58.24           ,-0.013392857142857161  ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-04-19,59.5 ,65.4 ,58.68,65.0 ,59.5     ,5.5   ,9.2437 ,1044285.16,6464561.22  ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,57.46           ,0.035502958579881644   ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-04-22,63.73,64.29,60.88,61.14,65.0     ,-3.86 ,-5.9385,1268734.32,7902553.682 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,59.5            ,0.09243697478991597    ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-04-23,60.9 ,61.5 ,59.49,60.99,61.14    ,-0.15 ,-0.2453,874881.96 ,5297737.674 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,65.0            ,-0.059384615384615376  ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-04-24,61.7 ,61.88,59.72,59.91,60.99    ,-1.08 ,-1.7708,838473.54 ,5064464.312 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,61.14           ,-0.002453385672227651  ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-04-25,59.3 ,59.6 ,57.3 ,57.75,59.91    ,-2.16 ,-3.6054,888110.27 ,5184675.669 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,60.99           ,-0.017707820954254883  ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-04-26,57.73,58.28,56.1 ,56.18,57.75    ,-1.57 ,-2.7186,720596.29 ,4085011.582 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,59.91           ,-0.03605408112168247   ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-04-29,55.75,58.59,55.01,57.31,56.18    ,1.13  ,2.0114 ,947510.43 ,5415667.747 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,57.75           ,-0.027186147186147192  ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-04-30,54.85,57.14,54.5 ,55.58,57.31    ,-1.73 ,-3.0187,853422.81 ,4757352.328 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,56.18           ,0.02011391954432187    ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-05-06,53.38,54.66,51.2 ,51.53,55.58    ,-4.05 ,-7.2868,1358113.58,7109823.921 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,57.31           ,-0.030186703891118546  ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-05-07,52.05,54.22,52.05,53.42,51.53    ,1.89  ,3.6678 ,927002.22 ,4947665.649 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,55.58           ,-0.07286793810723277   ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-05-08,52.0 ,53.66,51.7 ,52.33,53.42    ,-1.09 ,-2.0404,554790.12 ,2928669.509 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,51.53           ,0.03667766349699205    ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-05-09,51.88,52.52,50.52,51.8 ,52.33    ,-0.53 ,-1.0128,737335.01 ,3800419.825 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,53.42           ,-0.020404342942718146  ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-05-10,53.0 ,56.15,51.76,55.25,51.8     ,3.45  ,6.6602 ,900505.25 ,4872752.401 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,52.33           ,-0.010128033632715482  ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-05-13,53.22,55.29,53.22,54.1 ,55.25    ,-1.15 ,-2.0814,453344.47 ,2464302.588 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,51.8            ,0.06660231660231666    ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-05-14,53.25,54.49,53.02,53.36,54.1     ,-0.74 ,-1.3678,508396.33 ,2729489.568 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,55.25           ,-0.020814479638009024  ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-05-15,54.5 ,56.25,54.2 ,55.94,53.36    ,2.58  ,4.8351 ,738308.78 ,4083930.852 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,54.1            ,-0.013678373382624806  ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-05-16,55.7 ,56.58,55.5 ,56.19,55.94    ,0.25  ,0.4469 ,431781.58 ,2418916.529 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,53.36           ,0.048350824587706114   ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-05-17,56.2 ,56.42,54.15,54.8 ,56.19    ,-1.39 ,-2.4737,491829.68 ,2707163.841 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,55.94           ,0.00446907400786557    ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-05-20,54.35,55.19,52.82,53.64,54.8     ,-1.16 ,-2.1168,460217.53 ,2467504.22  ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,56.19           ,-0.024737497775404887  ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-05-21,53.84,56.24,53.82,55.45,53.64    ,1.81  ,3.3743 ,518951.27 ,2864609.232 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,54.8            ,-0.02116788321167877   ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-05-22,55.6 ,55.95,54.7 ,55.0 ,55.45    ,-0.45 ,-0.8115,276496.62 ,1528098.253 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,53.64           ,0.033743475018642846   ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-05-23,55.0 ,55.1 ,52.88,52.88,55.0     ,-2.12 ,-3.8545,523029.5  ,2797634.889 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,55.45           ,-0.008115419296663711  ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-05-24,53.05,54.45,53.05,53.9 ,52.88    ,1.02  ,1.9289 ,429520.23 ,2315195.27  ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,55.0            ,-0.0385454545454545    ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-05-27,54.01,54.5 ,52.98,54.05,53.9     ,0.15  ,0.2783 ,352294.27 ,1890637.839 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,52.88           ,0.019288956127080106   ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-05-28,54.0 ,55.33,53.8 ,54.9 ,54.05    ,0.85  ,1.5726 ,399621.73 ,2183517.843 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,53.9            ,0.0027829313543598997  ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-05-29,54.13,54.66,53.7 ,54.1 ,54.9     ,-0.8  ,-1.4572,295262.21 ,1599251.828 ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,54.05           ,0.015726179463459788   ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-05-30,53.64,53.79,52.63,52.94,54.1     ,-1.16 ,-2.1442,455447.77 ,2413602.18  ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,54.9            ,-0.014571948998178454  ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-05-31,52.9 ,53.53,52.17,52.31,52.94    ,-0.63 ,-1.19  ,374222.12 ,1973124.88  ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,54.1            ,-0.02144177449168214   ,    ,       ,                     ,                  ,                     ,                     ,                  ,
000651.SZ,2019-06-03,52.71,53.14,51.9 ,52.5 ,52.31    ,0.19  ,0.3632 ,367293.13 ,1929034.4   ,    ,       ,                     ,                   ,                     ,                     ,                  ,                   ,52.94           ,-0.011900264450321033  ,    ,       ,                     ,                  ,                     ,                     ,                  ,
